Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description
1114112,0,!Null (short Dc),0,BN,,Cc,Controls,<equiv>u00,
1114228,116,!Backspace (short Dc),0,BN,,Cc,Controls,<equiv>u08,
1114305,193,!Form feed (short Dc),0,WS,,Cc,Controls,<equiv>u0c,
1114320,208,!Start of heading (short Dc),0,BN,,Cc,Controls,<equiv>u01,
1114321,209,!Start of text (short Dc),0,BN,,Cc,Controls,<equiv>u02,
1114322,210,!End of text (short Dc),0,BN,,Cc,Controls,<equiv>u03,
1114323,211,!End of transmission (short Dc),0,BN,,Cc,Controls,<equiv>u04,
1114324,212,!Enquiry (short Dc),0,BN,,Cc,Controls,<equiv>u05,
1114325,213,!Acknowledge (short Dc),0,BN,,Cc,Controls,<equiv>u06,
1114326,214,!Bell (short Dc),0,BN,,Cc,Controls,<equiv>u07,
1114327,215,!Shift out (short Dc),0,BN,,Cc,Controls,"locking-shift one, <equiv>u0e",
1114328,216,!Shift in (short Dc),0,BN,,Cc,Controls,"locking-shift zero, <equiv>u0f",
1114329,217,!Data link escape (short Dc),0,BN,,Cc,Controls,<equiv>u10,
1114330,218,!Device control one (short Dc),0,BN,,Cc,Controls,"xon, resume transmission, <equiv>u11",
1114331,219,!Device control two (short Dc),0,BN,,Cc,Controls,<equiv>u12,
1114332,220,!Device control three (short Dc),0,BN,,Cc,Controls,"xoff, pause transmission, <equiv>u13",
1114333,221,!Device control four (short Dc),0,BN,,Cc,Controls,<equiv>u14,
1114334,222,!Negative acknowledge (short Dc),0,BN,,Cc,Controls,<equiv>u15,
1114335,223,!Synchronous idle (short Dc),0,BN,,Cc,Controls,<equiv>u16,
1114336,224,!End of transmission block (short Dc),0,BN,,Cc,Controls,<equiv>u17,
1114337,225,!Cancel (short Dc),0,BN,,Cc,Controls,<equiv>u18,
1114338,226,!End of medium (short Dc),0,BN,,Cc,Controls,<equiv>u19,
1114339,227,!Substitute (short Dc),0,BN,,Cc,Controls,<equiv>u1a,
1114340,228,!Escape (short Dc),0,BN,,Cc,Controls,<equiv>u1b,
1114341,229,!Information separator four (short Dc),0,B,,Cc,Controls,<equiv>u1c,
1114342,230,!Information separator three (short Dc),0,B,,Cc,Controls,<equiv>u1d,
1114343,231,!Information separator two (short Dc),0,B,,Cc,Controls,<equiv>u1e,
1114344,232,!Information separator one (short Dc),0,S,,Cc,Controls,<equiv>u1f,
1114346,234,!Delete (short Dc),0,BN,,Cc,Controls,<equiv>u7f,
