Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format/Category, Chain (@), or Syntax (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228614,390,Linux,Linux kernel family,kernel,,,,,,,,,,,,
2228615,391,BsdKernel,BSD kernel family,kernel,,,,,,,,,,,,
2228616,392,Mach,Mach kernel family,kernel,@base(f391),,,,,,,,,,,
2228617,393,Hurd,Hurd kernel,kernel,@base(f413),,,,,,,,,,,
2228618,394,Xnu,XNU (X is Not Unix),kernel,@base(f392),,,,,,,,,,,
2228619,395,Gnu,GNU libc,libc,,,,,,,,,,,,
2228620,396,Darwin,Darwin libc,libc,,,,,,,,,,,,
2228621,397,BsdLibc,BSD libc family,libc,,,,,,,,,,,,
2228622,398,GnuLinux,GNU/Linux Linux kernel with GNU libc and utilities,os,@base(f390 & f395 & f587),,,,,,,,,,,
2228623,399,Android,Android,os,@base(f390),,,,,,,,,,,
2228624,400,MsDosKernel,Microsoft DOS kernel,kernel,,,,,,,,,,,,
2228625,401,WinNtKernel,Windows NT kernel,kernel,,,,,,,,,,,,
2228626,402,Windows,Windows OS family,os,@base(f402 & (f400 | f401)),,,,,,,,,,,
2228627,403,WinClassic,MS-DOS-based Windows,os,@base(f402 & f400),,,,,,,,,,,
2228628,404,WinNt,Windows NT family,os,@base(f402 & f401),,,,,,,,,,,
2228629,405,MacOs,Mac OS family,os,,,,,,,,,,,,
2228630,406,MacOsDarwin,Mac OS 10+ family,os,@base(f405 & f394 & f396),,,,,,,,,,,
2228631,407,FreeBsd,FreeBSD,os,@base(f391 & f397),,,,,,,,,,,
2228632,408,OpenBsd,OpenBSD,os,@base(f391 & f397),,,,,,,,,,,
2228633,409,NetBsd,NetBSD,os,@base(f391 & f397),,,,,,,,,,,
2228636,412,DragonFlyBsd,DragonFly BSD,os,@base(f407 & f391 & f397),,,,,,,,,,,
2228637,413,GnuMach,GNU Mach,kernel,@base(f392),,,,,,,,,,,
2228716,492,Unix,Unix OS family,os,,,,,,,,,,,,
2228717,493,AppleIos,Apple iOS,os,@base(f396 & f394),,,,,,,,,,,
2228718,494,WatchOs,Apple watchOS,os,@base(f396 & f394),,,,,,,,,,,
2228719,495,TvOs,Apple tvOS,os,@base(f396 & f394),,,,,,,,,,,
2228720,496,VisionOs,Apple visionOS,os,@base(f396 & f394),,,,,,,,,,,
2228721,497,GnuStep,GNUstep environment,userspace,@base(f395),,,,,,,,,,,
2228722,498,NextStep,NeXTSTEP / OPENSTEP environment,os,@base(f392),,,,,,,,,,,
2228781,557,Replicant,Replicant,os,@base(f399),,,,,,,,,,,
2228782,558,Dragora,Dragora GNU/Linux-Libre,os,@base(f398),,,,,,,,,,,
2228783,559,Dynebolic,Dyne:bolic,os,@base(f398),,,,,,,,,,,
2228784,560,GuixSystem,Guix System,os,@base(f398 & f561),,,,,,,,,,,
2228785,561,Guix,Guix package manager,packagemgr,@base(f580),,,,,,,,,,,
2228786,562,Homebrew,Homebrew package manager,packagemgr,,,,,,,,,,,,
2228787,563,MacPorts,MacPorts package manager,packagemgr,,,,,,,,,,,,
2228788,564,Hyperbola,Hyperbola GNU/Linux-libre,os,@base(f398),,,,,,,,,,,
2228789,565,ParabolaGll,Parabola GNU/Linux-libre,os,@base(f398 & f575),,,,,,,,,,,
2228790,566,PureOs,PureOS,os,@base(f398 & f571),,,,,,,,,,,
2228791,567,Trisquel,Trisquel,os,@base(f398 & f572),,,,,,,,,,,
2228792,568,UtutoS,Ututo S,os,@base(f398),,,,,,,,,,,
