Dc,Short,Ident (Rust-friendly),Label,Category,"Base/Related Format/Category, Chain (@), or Syntax (:)","Extensions (Primary extension first, followed by comma-separated alternatives)","MIME (Primary MIME type first, followed by comma-separated aliases)",Apple Uniform Type Identifier (UTI),Apple Type code,Nicknames (short names for uses like CLI arguments),"Import support
(for trans_:
  =run the tr.)","Export support
(for trans_:
  =reverse the
    tr.)",Tests,"Variant Types
(comma-
  delimited)","Comments. The “Format name” is an ID, and should conform to StageL ident naming.
Import/export/tests support columns meaning:
   -1=N/A
   blank/0=none
   1=WIP
   2=mostly, or fully for at least one version of a format with options
   3=fully implemented for semantic content (and tests for variation in non-semantic details of the structure of the doc being imported)
   4=lossless and roundtrippable (with enough info for unambiguous bit-for-bit reconstruction of any given input)
   5=4+optional strict validation.",References
2228614,390,Linux,Linux kernel family,kernel,,,,,,,,,,,,
2228615,391,BsdKernel,BSD kernel family,kernel,,,,,,,,,,,,
2228616,392,Mach,Mach kernel family,kernel,@base(f391),,,,,,,,,,,
2228617,393,Hurd,Hurd kernel,kernel,@base(f413),,,,,,,,,,,
2228618,394,Xnu,XNU (X is Not Unix),kernel,@base(f392),,,,,,,,,,,
2228619,395,Gnu,GNU libc,libc,,,,,,,,,,,,
2228620,396,Darwin,Darwin libc,libc,,,,,,,,,,,,
2228621,397,BsdLibc,BSD libc family,libc,,,,,,,,,,,,
2228622,398,GnuLinux,GNU/Linux Linux kernel with GNU libc and utilities,os,@base(f390 & f395 & TBD),,,,,,,,,,,
2228623,399,Android,Android,os,@base(f390),,,,,,,,,,,
2228624,400,MsDosKernel,Microsoft DOS kernel,kernel,,,,,,,,,,,,
2228625,401,WinNtKernel,Windows NT kernel,kernel,,,,,,,,,,,,
2228626,402,Windows,Windows OS family,os,@base(f402 & (f400 | f401)),,,,,,,,,,,
2228627,403,WinClassic,MS-DOS-based Windows,os,@base(f402 & f400),,,,,,,,,,,
2228628,404,WinNt,Windows NT family,os,@base(f402 & f401),,,,,,,,,,,
2228629,405,MacOs,Mac OS family,os,,,,,,,,,,,,
2228630,406,MacOsDarwin,Mac OS 10+ family,os,@base(f405 & f394 & f396),,,,,,,,,,,
2228631,407,FreeBsd,FreeBSD,os,@base(f391 & f397),,,,,,,,,,,
2228632,408,OpenBsd,OpenBSD,os,@base(f391 & f397),,,,,,,,,,,
2228633,409,NetBsd,NetBSD,os,@base(f391 & f397),,,,,,,,,,,
2228636,412,DragonFlyBsd,DragonFly BSD,os,@base(f407 & f391 & f397),,,,,,,,,,,
2228637,413,GnuMach,GNU Mach,kernel,@base(f392),,,,,,,,,,,
2228716,492,Unix,Unix OS family,os,,,,,,,,,,,,
2228717,493,AppleIos,Apple iOS,os,@base(f396 & f394),,,,,,,,,,,
2228718,494,WatchOs,Apple watchOS,os,@base(f396 & f394),,,,,,,,,,,
2228719,495,TvOs,Apple tvOS,os,@base(f396 & f394),,,,,,,,,,,
2228720,496,VisionOs,Apple visionOS,os,@base(f396 & f394),,,,,,,,,,,
2228721,497,GnuStep,GNUstep environment,userspace,@base(f395),,,,,,,,,,,
2228722,498,NextStep,NeXTSTEP / OPENSTEP environment,os,@base(f392),,,,,,,,,,,
,,Replicant,Replicant,os,@base(f399),,,,,,,,,,,
,,Dragora,Dragora GNU/Linux-Libre,os,@base(f398),,,,,,,,,,,
,,Dynebolic,Dyne:bolic,os,@base(f398),,,,,,,,,,,
,,GuixSystem,Guix System,os,@base(f398),,,,,,,,,,,
,,Guix,Guix package manager,packagemgr,@base(TBD),,,,,,,,,,,
,,Homebrew,Homebrew package manager,packagemgr,,,,,,,,,,,,
,,MacPorts,MacPorts package manager,packagemgr,,,,,,,,,,,,
,,Hyperbola,Hyperbola GNU/Linux-libre,os,@base(f398),,,,,,,,,,,
,,ParabolaGll,Parabola GNU/Linux-libre,os,@base(f398),,,,,,,,,,,
,,PureOs,PureOS,os,@base(f398 & TBD),,,,,,,,,,,
,,Trisquel,Trisquel,os,@base(f398 & TBD),,,,,,,,,,,
,,UtutoS,Ututo S,os,@base(f398),,,,,,,,,,,
,,LibreCmc,libreCMC,os,@base(f398),,,,,,,,,,,
,,ProteanOs,ProteanOS,os,@base(f398),,,,,,,,,,,
,,Debian,Debian,os,@base(f398),,,,,,,,,,,
,,Ubuntu,Ubuntu,os,@base(f398 & TBD),,,,,,,,,,,
,,Fedora,Fedora,os,@base(f398),,,,,,,,,,,
,,Rhel,RHEL,os,@base(f398),,,,,,,,,,,
,,ArchLinux,Arch,os,@base(f398),,,,,,,,,,,
,,Alpine,Alpine,os,@base(f398),,,,,,,,,,,
,,OpenSuse,OpenSUSE,os,@base(f398),,,,,,,,,,,
,,Gentoo,Gentoo,os,@base(f398),,,,,,,,,,,
,,NixOs,NixOS,os,@base(f398),,,,,,,,,,,
,,Nix,Nix package manager,packagemgr,,,,,,,,,,,,
,,Wsl,Windows Subsystem for Linux,kernel,,,,,,,,,,,,
,,Wsl2,"Windows Subsystem for Linux, version 2",kernel,@base(TBD),,,,,,,,,,,
,,MuslLibc,musl libc,libc,,,,,,,,,,,,
,,BusyBoxUtilities,BusyBox utilities,userspace_utilities,,,,,,,,,,,,
,,BionicLibc,Bionic libc (Bionic also provides some other libraries),libc,,,,,,,,,,,,
,,Win32Subsystem,Windows user-mode API subsystem for Win32 applications,userspace_libraries,,,,,,,,,,,,
,,GnuUtilities,GNU utilities,userspace_utilities,,,,,,,,,,,,
,,BionicUserspace,Bionic userspace,userspace,@base(TBD),,,,,,,,,,,
